,EudraCT Number:,Country,Member State,Start Date,End Date,Trial Status:,Therapeutic area,Main objective of the trial,Trial Scope,Trial Phase,Age Group,Gender
12358,2011-005452-34,United Kingdom,Hungary - National Institute of Pharmacy,2013-04-08,2014-05-14,Completed,Psychiatry and Psychology [F] - Behavioral Disciplines and Activities [F04],"The primary objective is to evaluate the efficacy of VYVANSE 70mg compared with CONCERTA 72mg in adolescents (13-17 years of age, inclusive) with ADHD. The primary measure of efficacy will be the total score for the clinician-administered Attention-deficit/Hyperactivity Disorder Rating Scale-IV (ADHD-RS-IV).","Safety, Efficacy",Therapeutic use (Phase IV),Adolescents (12-17 years),"Female, Male"
12373,2012-001666-15,France,Slovakia - SIDC (Slovak),2013-05-20,2015-01-21,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],To demonstrate the short-term efficacy of at least one of the 2 dose regimens of agomelatine (versus placebo) using HAM-A scale after a 12-week treatment period in non-depressed out-patients suffering from Generalized Anxiety Disorder (GAD).,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
12382,2012-001666-15,France,Finland - Fimea,2013-04-25,2015-01-21,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],To demonstrate the short-term efficacy of at least one of the 2 dose regimens of agomelatine (versus placebo) using HAM-A scale after a 12-week treatment period in non-depressed out-patients suffering from Generalized Anxiety Disorder (GAD).,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
12387,2012-001666-15,France,Poland - Office for Medicinal Products,2013-09-24,2015-01-21,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],To demonstrate the short-term efficacy of at least one of the 2 dose regimens of agomelatine (versus placebo) using HAM-A scale after a 12-week treatment period in non-depressed out-patients suffering from Generalized Anxiety Disorder (GAD).,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
12401,2009-010966-47,Germany,Germany - BfArM,2009-10-14,2014-03-31,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],Contentment with treatment in 1) patients and 2) psychiatrists; Patient: SF-36 (interviewer version with a time frame of one week); Psychiatrist: CGI.,"Therapy, Safety, Efficacy",Therapeutic use (Phase IV),Adults (18-64 years),"Female, Male"
12415,2012-001779-35,United Kingdom,UK - MHRA,2012-11-29,,GB - no longer in EU/EEA,Psychiatry and Psychology [F] - Mental Disorders [F03],"Though the pharmacological actions of pregabalin are fairly well characterised in animal models, there is little understanding of how it might modulate the emotionrelated functions of neural systems thought to underlie GAD, such as amygdala hyperactivity and prefrontal hypoactivity. The purpose of this study is to clarify the effects of pregabalin on two measures the startle response and an antisaccade task as increased knowledge of the effects of pregabalin on these neural systems in a clinical sample would permit a greater understanding of its possible mechanism of action, and this in turn could lead to refined treatment approaches.",,Therapeutic use (Phase IV),Adults (18-64 years),"Female, Male"
12430,2012-001361-32,Denmark,Finland - Fimea,2013-02-28,2014-04-01,Prematurely Ended,Psychiatry and Psychology [F] - Mental Disorders [F03],- Efficacy on depressive symptoms of brexpiprazole versus placebo as adjunctive treatment to antidepressants in elderly patients with an inadequate response to antidepressant treatment,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Elderly (>=65 years),"Female, Male"
12443,2012-001361-32,Denmark,Lithuania - SMCA,2013-02-25,2014-04-01,Prematurely Ended,Psychiatry and Psychology [F] - Mental Disorders [F03],- Efficacy on depressive symptoms of brexpiprazole versus placebo as adjunctive treatment to antidepressants in elderly patients with an inadequate response to antidepressant treatment,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Elderly (>=65 years),"Female, Male"
12446,2012-001361-32,Denmark,Slovakia - SIDC (Slovak),2013-03-04,2014-04-01,Prematurely Ended,Psychiatry and Psychology [F] - Mental Disorders [F03],- Efficacy on depressive symptoms of brexpiprazole versus placebo as adjunctive treatment to antidepressants in elderly patients with an inadequate response to antidepressant treatment,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Elderly (>=65 years),"Female, Male"
12452,2012-001361-32,Denmark,Bulgarian Drug Agency,2013-04-23,2014-05-22,Prematurely Ended,Psychiatry and Psychology [F] - Mental Disorders [F03],- Efficacy on depressive symptoms of brexpiprazole versus placebo as adjunctive treatment to antidepressants in elderly patients with an inadequate response to antidepressant treatment,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Elderly (>=65 years),"Female, Male"
12459,2012-001361-32,Denmark,Poland - Office for Medicinal Products,2013-06-13,2014-04-01,Prematurely Ended,Psychiatry and Psychology [F] - Mental Disorders [F03],- Efficacy on depressive symptoms of brexpiprazole versus placebo as adjunctive treatment to antidepressants in elderly patients with an inadequate response to antidepressant treatment,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Elderly (>=65 years),"Female, Male"
12460,2012-001361-32,Denmark,UK - MHRA,2013-04-24,2014-04-01,Prematurely Ended,Psychiatry and Psychology [F] - Mental Disorders [F03],- Efficacy on depressive symptoms of brexpiprazole versus placebo as adjunctive treatment to antidepressants in elderly patients with an inadequate response to antidepressant treatment,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Elderly (>=65 years),"Female, Male"
12461,2012-001361-32,Denmark,Estonia - SAM,2013-03-07,,Prematurely Ended,Psychiatry and Psychology [F] - Mental Disorders [F03],- Efficacy on depressive symptoms of brexpiprazole versus placebo as adjunctive treatment to antidepressants in elderly patients with an inadequate response to antidepressant treatment,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Elderly (>=65 years),"Female, Male"
12466,2012-001361-32,Denmark,Romania - National Agency for Medicines and Medical Devices,2014-08-05,2014-04-01,Prematurely Ended,Psychiatry and Psychology [F] - Mental Disorders [F03],- Efficacy on depressive symptoms of brexpiprazole versus placebo as adjunctive treatment to antidepressants in elderly patients with an inadequate response to antidepressant treatment,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Elderly (>=65 years),"Female, Male"
12471,2012-001361-32,Denmark,Sweden - MPA,2013-02-20,,Prematurely Ended,Psychiatry and Psychology [F] - Mental Disorders [F03],- Efficacy on depressive symptoms of brexpiprazole versus placebo as adjunctive treatment to antidepressants in elderly patients with an inadequate response to antidepressant treatment,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Elderly (>=65 years),"Female, Male"
12694,2013-003888-59,Netherlands,Netherlands - Competent Authority,2014-01-17,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],"The main objective of this trial is to study the effects of mindfulness training combined with Mindful Parenting training versus methylphenidate in children and youngsters with ADHD on outcome measures of attention, hyperactivity and impulsivity. Het primaire doel van deze studie is om de effecten van mindfulness training gecombineerd met Mindful Parenting training versus methylfenidaat te onderzoeken in kinderen en jongeren met ADHD op uitkomstmaten van aandacht, hyperactiviteit en impulsiviteit.","Diagnosis, Therapy",Therapeutic use (Phase IV),"Children (2-11years), Adolescents (12-17 years)","Female, Male"
12776,2014-000062-22,Germany,Hungary - National Institute of Pharmacy,2014-09-15,2016-05-23,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],To compare the efficacy of brexpiprazole (2.0 mg/day) to placebo as adjunctive therapy to an assigned open-label antidepressant therapy (ADT) in subjects who demonstrate an inadequate response to a prospective 8-week trial of the same assigned open-label ADT.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
12797,2014-000062-22,Germany,Slovakia - SIDC (Slovak),2014-09-03,2016-05-23,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],To compare the efficacy of brexpiprazole (2.0 mg/day) to placebo as adjunctive therapy to an assigned open-label antidepressant therapy (ADT) in subjects who demonstrate an inadequate response to a prospective 8-week trial of the same assigned open-label ADT.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
12801,2014-000062-22,Germany,Germany - BfArM,2014-08-08,2016-05-23,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],To compare the efficacy of brexpiprazole (2.0 mg/day) to placebo as adjunctive therapy to an assigned open-label antidepressant therapy (ADT) in subjects who demonstrate an inadequate response to a prospective 8-week trial of the same assigned open-label ADT.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
12805,2014-000062-22,Germany,Poland - Office for Medicinal Products,2014-09-25,2016-05-23,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],To compare the efficacy of brexpiprazole (2.0 mg/day) to placebo as adjunctive therapy to an assigned open-label antidepressant therapy (ADT) in subjects who demonstrate an inadequate response to a prospective 8-week trial of the same assigned open-label ADT.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
12898,2013-000503-17,United States,Bulgarian Drug Agency,2016-03-22,2017-03-30,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To compare the efficacy of flexible dosing of brexpiprazole (dose range of 0.5 to 2 mg/day) with placebo in subjects with agitation associated with dementia of the Alzheimer’s type, as assessed by the Cohen-Mansfield Agitation Inventory (CMAI) after 12 weeks of treatment.","Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
12900,2012-005612-26,France,Estonia - SAM,2013-10-15,2016-01-13,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],To demonstrate the antidepressant efficacy of an 8-week tianeptine oral administration in elderly out-patients suffering from Major Depressive Disorder compared to placebo. The assay sensitivity will be evaluated comparing escitalopram to placebo.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Elderly (>=65 years),"Female, Male"
12925,2013-000503-17,United States,UK - MHRA,2014-03-12,2017-03-30,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To compare the efficacy of flexible dosing of brexpiprazole (dose range of 0.5 to 2 mg/day) with placebo in subjects with agitation associated with dementia of the Alzheimer’s type, as assessed by the Cohen Mansfield Agitation Inventory (CMAI) after 12 weeks of treatment","Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
12928,2012-005612-26,France,Bulgarian Drug Agency,2015-01-23,2016-01-13,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],To demonstrate the antidepressant efficacy of an 8-week tianeptine oral administration in elderly out-patients suffering from Major Depressive Disorder compared to placebo. The assay sensitivity will be evaluated comparing escitalopram to placebo.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Elderly (>=65 years),"Female, Male"
12942,2013-000503-17,United States,Finland - Fimea,2014-05-06,,Prematurely Ended,Psychiatry and Psychology [F] - Mental Disorders [F03],"To compare the efficacy of flexible dosing of brexpiprazole (dose range of 0.5 to 2 mg/day) with placebo in subjects with agitation associated with dementia of the Alzheimer’s type, as assessed by the Cohen-Mansfield Agitation Inventory (CMAI) after 12 weeks of treatment.","Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
12944,2013-000503-17,United States,Slovenia - JAZMP,2014-08-20,2017-03-30,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To compare the efficacy of flexible dosing of brexpiprazole (dose range of 0.5 to 2 mg/day) with placebo in subjects with agitation associated with dementia of the Alzheimer’s type, as assessed by the Cohen Mansfield Agitation Inventory (CMAI) after 12 weeks of treatment","Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
12950,2012-005612-26,France,Slovakia - SIDC (Slovak),2013-05-30,2016-01-13,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],To demonstrate the antidepressant efficacy of an 8-week tianeptine oral administration in elderly out-patients suffering from Major Depressive Disorder compared to placebo. The assay sensitivity will be evaluated comparing escitalopram to placebo.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Elderly (>=65 years),"Female, Male"
12951,2012-005612-26,France,Finland - Fimea,2013-06-19,2016-01-13,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],To demonstrate the antidepressant efficacy of an 8-week tianeptine oral administration in elderly out-patients suffering from Major Depressive Disorder compared to placebo. The assay sensitivity will be evaluated comparing escitalopram to placebo.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Elderly (>=65 years),"Female, Male"
13011,2013-000240-26,United Kingdom,UK - MHRA,2013-10-03,2015-08-07,Prematurely Ended,Psychiatry and Psychology [F] - Mental Disorders [F03],"To determine whether the addition of the molecule Cannabidiol (CBD) leads to improvement in the severity of core psychotic symptom, in patients experiencing their first psychotic episode who have failed to recover despite treatment with at least one standard anti-psychotic drug.",Efficacy,Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
13043,2013-004688-30,Spain,Spain - AEMPS,2014-06-30,,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To determine the reduction in alcohol consumption in patients with alcohol dependence treated with 18 mg Selincro® as-needed use, in conjunction with continuous psychosocial support in primary care (Cohort A). determinar la reducción del consumo de alcohol en pacientes con dependencia del alcohol tratados con Selincro® 18 mg a demanda junto con un apoyo psicosocial continuado en la atención primaria (cohorte A)","Therapy, Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
13046,2013-004688-30,Denmark,Italy - Italian Medicines Agency,2014-09-05,,Prematurely Ended,Psychiatry and Psychology [F] - Mental Disorders [F03],"To determine the reduction in alcohol consumption in patients with alcohol dependence treated with 18 mg Selincro® as-needed use, in conjunction with continuous psychosocial support in primary care (Cohort A).","Therapy, Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
13052,2013-004688-30,Denmark,Germany - BfArM,2014-04-23,2016-02-23,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To determine the reduction in alcohol consumption in patients with alcohol dependence treated with 18 mg Selincro® as-needed use, in conjunction with continuous psychosocial support in primary care (Cohort A).","Therapy, Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
13062,2013-004688-30,Denmark,UK - MHRA,2014-04-16,2016-02-11,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To determine the reduction in alcohol consumption in patients with alcohol dependence treated with 18 mg Selincro® as-needed use, in conjunction with continuous psychosocial support in primary care (Cohort A).","Therapy, Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
13171,2010-024119-15,Spain,Spain - AEMPS,2014-04-04,,Restarted,Psychiatry and Psychology [F] - Mental Disorders [F03],"1. To assess the efficacy of tolcapone, as the first non-stimulant drug to improve cognition in schizophrenia, as a genotype-based targeted treatment of cognitive and negative symptoms of schizophrenia considering the polymorphism rs4680. 1. Objetivar la eficacia de la tolcapona, en función del genotipo para el polimorfismo rs4680 del gen de la enzima COMT, para mejorar el deterioro cognitivo y los síntomas negativos en pacientes con esquizofrenia de larga evolución, en fase de compensación clínica.","Therapy, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
13183,2014-001966-87,Spain,Poland - Office for Medicinal Products,2015-01-29,2016-08-23,Completed,Psychiatry and Psychology [F] - Behaviours [F01],"To evaluate the efficacy of two doses of Lorediplon (5 and 10 mg), during two consecutive nights compared to placebo on Wake after Sleep Onset (WASO) measured by polysomnography (PSG) in adult patients with insomnia disorder.","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
13195,2012-004334-42,United Kingdom,Hungary - National Institute of Pharmacy,2012-12-18,2016-11-18,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To evaluate the safety and tolerability of aripiprazole IM depot administered every 4 weeks for 52 weeks to patients with bipolar I disorder. To evaluate the efficacy, as measured by the percentage of stable subjects at baseline who remain stable at the end of treatment in Phase C, of aripiprazole IM depot administered every 4 weeks for 52 weeks to patients with bipolar I disorder.","Safety, Efficacy","Therapeutic confirmatory (Phase III), Therapeutic use (Phase IV)","Adults (18-64 years), Elderly (>=65 years)","Female, Male"
13199,2014-001966-87,Spain,Croatia - MIZ,2015-04-29,2016-08-23,Completed,Psychiatry and Psychology [F] - Behaviours [F01],"To evaluate the efficacy of two doses of Lorediplon (5 and 10 mg), during two consecutive nights compared to placebo on Wake after Sleep Onset (WASO) measured by polysomnography (PSG) in adult patients with insomnia disorder.","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
13219,2014-001488-11,Sweden,Sweden - MPA,2014-12-16,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],"To examine the effects of expectations, medication and placebo on objective and self-rated performance on ADHD core signs during the Quantified Behavior Test. Att undersöka effekterna av förvänting, läkemedel och placebo på objektiv och självskattad prestation på ADHD kärnsymtom vid Qb-test.",Efficacy,Therapeutic use (Phase IV),Adults (18-64 years),"Female, Male"
13328,2012-004298-20,Sweden,Sweden - MPA,2014-11-14,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],To better understand the effect and the mechanism of MPH in this population we aim to study the medication effect on impulse inhibition and other executive functioning –some of the core deficits in both ADHD and in SUD.,,Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
13334,2014-005327-27,Germany,Germany - BfArM,2015-05-22,,,Psychiatry and Psychology [F] - Psychological processes [F02],,Efficacy,Therapeutic confirmatory (Phase III),Adolescents (12-17 years),"Female, Male"
13501,2015-004708-51,Netherlands,Netherlands - Competent Authority,2015-11-24,,Ongoing,Psychiatry and Psychology [F] - Psychological processes [F02],"The aim of the study is: to investigate the effect of DCS on the physiological and subjective correlates reflecting conditioned sexual response, and sexual memory formation.  Hypothesis: We hypothesize that administration of DCS after a classical conditioning procedure will enhance sexual memory formation of conditioned sexual responses. Compared to the placebo-condition, for the DCS condition an increase in sexual conditioned responses elicited by reward-conditioned cues will be seen on a test phase 24hrs later. The DCS condition will show stronger conditioned genital and subjective responding, also outside the original acquisition context, compared to the placebo condition.",Therapy,Therapeutic use (Phase IV),Adults (18-64 years),Female
13505,2013-000029-29,France,France - ANSM,2015-09-15,2017-07-10,Completed,Psychiatry and Psychology [F] - Psychological processes [F02],évaluer l’effet de l’ocytocine par inhalation nasale sur les stratégies visuelles d’exploration des images sollicitant l’attachement (détresse et réconfort) chez des adolescents insécures. Cette caractérisation se basera sur l’étude de paramètres oculomoteurs.,,Therapeutic exploratory (Phase II),Adolescents (12-17 years),Male
13551,2019-001692-37,Germany,Germany - BfArM,2019-07-19,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],"Reduction of depressive symptoms (assessed with Montgomery–Åsberg Depression Rating Scale (MADRS), Schmidtke et al., 1988) between start of and six weeks after end of combination treatment (Δ t1-t3) in group 1 (ketamine plus CBASP) vs. group 2 (placebo plus CBASP) and in group 1 vs. group 3 (ketamine plus TAU)","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
13606,2019-000695-41,Netherlands,UK - MHRA,2019-04-26,2020-05-06,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"The primary objective of this study is to evaluate the efficacy of JNJ-67953964 compared to placebo when administered as adjunctive treatment in subjects with MDD partially responsive to SSRI/SNRI treatment in terms of reduction of symptoms of depression, as assessed by the change from baseline on the Montgomery Asberg Depression Rating Scale (MADRS) in non-responders during the placebo lead-in period.","Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
13770,2015-002831-16,Germany,Germany - BfArM,2015-08-13,2017-09-04,Prematurely Ended,Psychiatry and Psychology [F] - Behaviours [F01],"With TEMA (test system for development of medications for alcoholism) it can be shown, that naltrexone (NTX) administration reduces the willingness to perform work for alcohol infusion in a laboratory experiment Mit TEMA (Testsystem für die Entwicklung von Medikamenten bei Alkoholabhängigkeit ) kann nachgewiesen werden, dass die Gabe von Naltrexon (NTX) die Bereitschaft verringert, in einem Laborexperiment Arbeit zu leisten, um sich dafür Alkohol zuführen zu können","Safety, Efficacy","Therapeutic confirmatory (Phase III), Therapeutic use (Phase IV)",Adults (18-64 years),"Female, Male"
13780,2016-000565-23,Denmark,Denmark - DHMA,2016-06-27,,Prematurely Ended,Psychiatry and Psychology [F] - Mental Disorders [F03],1. To investigate the frequency of subjects who are not in treatment with antipsychotic medication and has remission of psychotic symptoms in the discontinuation group compared with the maintenance therapy group measured at one and two year follow up.,"Therapy, Safety, Efficacy",Therapeutic use (Phase IV),Adults (18-64 years),"Female, Male"
13784,2020-001878-29,France,France - ANSM,2020-11-23,,,Psychiatry and Psychology [F] - Mental Disorders [F03],To evaluate the efficacy of propranolol in blocking the reconsolidation of traumatic memory in Post-Traumatic Stress Disorder (PTSD) Evaluer l’efficacité du propranolol dans le blocage de la reconsolidation de la mémoire traumatique au cours du TSPT.,Therapy,Therapeutic confirmatory (Phase III),Adolescents (12-17 years),"Female, Male"
13787,2007-002655-16,,Sweden - MPA,2008-02-06,2021-04-01,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],Is it possible to improve doping tests employed today,Diagnosis,Therapeutic use (Phase IV),Adults (18-64 years),Male
13921,2007-006609-25,Germany,Germany - BfArM,2008-03-27,2014-09-02,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],The primary objective of this study is to investigate the effects of treatment with the SSRI escitalopram compared to placebo on morbidity and mortality in CHF patients with a current episode of major depression,"Therapy, Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
13927,2011-002819-28,Sweden,Sweden - MPA,2012-01-03,2016-12-09,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],Primary aim with the study is to investigate whether D-Cycloserine (DCS) gives incremental effects to Internet-based cognitive behavior therapy (ICBT) in terms of reduced Obsessive Compulsive Disorder (OCD) symptoms at post-treatment and follow-up.,"Therapy, Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
14032,2020-005633-33,Netherlands,Netherlands - Competent Authority,2021-03-10,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],"The aim of our study is two folded: first, we aim to improve cognition after ECT, improving its acceptability and tolerability and hence increase its application. If ECT would be used for the calculated 26% of patients who have chronic severe depression, morbidity and mortality of this disorder would decrease steeply. Second, we aim to develop a prediction method based on clinical and EEG characteristics, to accurately predict who will respond to ECT. If it is possible to accurately predict ECT response (and non-response), it could be prevented that patients with a low chance of recovery receives ECT without response but with the associated risks.","Prophylaxis, Therapy, Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
14052,2018-001049-15,Sweden,Sweden - MPA,2018-06-20,,Completed,Psychiatry and Psychology [F] - Behaviours [F01],"The aim of this pilot study is to assess feasibility, efficacy and tolerability of Naltrexone treatment in patients with hypersexual disorder. The following research questions will be asked: 1. Is treatment with Naltrexone feasible for patients with Hypersexual disorder treated at a sub specialized unit? 2. Does Naltrexone reduce symptoms in patients with Hypersexual disorder? And if so, what clinical characteristics predict response? 3. What is the tolerability of Naltrexone in patients with Hypersexual disorder?","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
14229,2015-005056-96,Spain,Spain - AEMPS,2016-01-13,,Completed,Psychiatry and Psychology [F] - Behavioral Disciplines and Activities [F04],"To compare the effect of an acute dose of tramadol compared to placebo, in the physical and cognitive performance in cyclists Comprobar el efecto de una dosis aguda de tramadol, en comparación con placebo, en el rendimiento físico y cognitivo en ciclistas",,Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
14230,2020-003739-62,Netherlands,Netherlands - Competent Authority,2021-04-21,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],The aim of this project is to investigate CBD as a new medicine to target the ECS in the reduction of anxiety symptoms.,Therapy,Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
14246,2018-001963-22,Poland,Poland - Office for Medicinal Products,2018-06-28,2020-04-24,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"to determine the efficacy and dose response of Esketamine, administered by inhalation from Dry Powder Inhaler, compared with placebo, in subjects with treatment resistant depression in the course of major depressive disorder, as assess by change from baseline in the Montgomery-Åsberg Depression Rating Scale (MADRS) total score at Day 14 of treatment phase. określenie skuteczności i odpowiedzi na dawkę Esketaminy podawanej wziewnie za pomocą inhalatora suchego proszku, w porównaniu do placebo u pacjentów z lekooporną depresją w przebiegu ciężkiej depresji, oceniane na podstawie zmiany całkowitego wyniku w skali oceny depresji Montgomery-Åsberg (ang. Montgomery-Åsberg Depression Rating Scale, MADRS) w 14 dniu fazy leczenia względem wartości wyjściowej (baseline)","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
14278,2018-003313-17,Italy,Italy - Italian Medicines Agency,2021-02-10,,Ongoing,Psychiatry and Psychology [F] - Behaviours [F01],Evaluation of the effect of treatment with cholecalciferol in subjects with depressive disorder or bipolar disorder after 12 weeks. Valutazione dell'effetto del trattamento con colecalciferolo in soggetti con disturbo depressivo o dispturbo bipolare dopo 12 settimane.,Therapy,Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
14328,2008-005354-20,Denmark,Hungary - National Institute of Pharmacy,2016-03-01,2019-09-30,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],Evaluation of the efficacy of vortioxetine 10 mg/day and 20 mg/day versus placebo on depressive symptoms in adolescents with a DSM-5™ diagnosis of MDD.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Adolescents (12-17 years),"Female, Male"
14332,2008-005354-20,Denmark,Germany - BfArM,2016-03-07,2019-07-30,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],Evaluation of the efficacy of vortioxetine 10 mg/day and 20 mg/day versus placebo on depressive symptoms in adolescents with a DSM-5™ diagnosis of MDD.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Adolescents (12-17 years),"Female, Male"
14334,2008-005354-20,Denmark,Bulgarian Drug Agency,2016-03-02,2019-07-30,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],Evaluation of the efficacy of vortioxetine 10 mg/day and 20 mg/day versus placebo on depressive symptoms in adolescents with a DSM-5™ diagnosis of MDD.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Adolescents (12-17 years),"Female, Male"
14335,2008-005354-20,Denmark,Finland - Fimea,2016-03-07,,Not Authorised,Psychiatry and Psychology [F] - Mental Disorders [F03],Evaluation of the efficacy of vortioxetine 10 mg/day and 20 mg/day versus placebo on depressive symptoms in adolescents with a DSM-5™ diagnosis of MDD.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Adolescents (12-17 years),"Female, Male"
14336,2008-005354-20,Denmark,Estonia - SAM,2015-12-09,2019-07-30,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],Evaluation of the efficacy of vortioxetine 10 mg/day and 20 mg/day versus placebo on depressive symptoms in adolescents with a DSM-5™ diagnosis of MDD.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Adolescents (12-17 years),"Female, Male"
14338,2008-005354-20,Denmark,Italy - Italian Medicines Agency,2016-03-08,,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],Evaluation of the efficacy of vortioxetine 10 mg/day and 20 mg/day versus placebo on depressive symptoms in adolescents with a DSM-5™ diagnosis of MDD.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Adolescents (12-17 years),"Female, Male"
