,EudraCT Number:,Country,Member State,Start Date,End Date,Trial Status:,Therapeutic area,Main objective of the trial,Trial Scope,Trial Phase,Age Group,Gender
20798,2017-000135-14,Denmark,Austria - BASG,2017-03-08,2020-03-02,Completed,Diseases [C] - Nervous System Diseases [C10],To assess the efficacy of 2 doses of PXT002331 as an adjunct to levodopa in the reduction of OFF time in subjects with PD.,"Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21050,2007-003936-50,Germany,UK - MHRA,2009-01-13,2011-05-30,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of the study is to evaluate the efficacy of three doses of atacicept to reduce CNS inflammation in subjects with RMS as assessed by frequent MRI.,"Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
21058,2007-001161-14,Netherlands,Poland - Office for Medicinal Products,2008-05-12,2011-04-27,Completed,Diseases [C] - Nervous System Diseases [C10],The study will enroll patients who have not previously received treatment to suppress Multiple Sclerosis (MS). The main objective of this study is to establish the efficacy of alemtuzumab as a treatment for relapsing-remitting multiple sclerosis (MS) in comparison with Rebif® (interferon beta-1a).,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
21128,2007-001161-14,Netherlands,Czechia - SUKL,2007-09-11,2011-04-27,Completed,Diseases [C] - Nervous System Diseases [C10],The study will enroll patients who have not previously received treatment to suppress Multiple Sclerosis (MS).  The main objective of this study is to establish the efficacy of alemtuzumab as a treatment for relapsing-remitting multiple sclerosis (MS) in comparison with Rebif® (interferon beta-1a).,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
21136,2007-001161-14,Netherlands,Sweden - MPA,2007-12-18,,Completed,Diseases [C] - Nervous System Diseases [C10],The study will enroll patients who have not previously received treatment to suppress Multiple Sclerosis (MS).  The main objective of this study is to establish the efficacy of alemtuzumab as a treatment for relapsing-remitting multiple sclerosis (MS) in comparison with Rebif® (interferon beta-1a).,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
21152,2007-001161-14,Netherlands,Germany - PEI,2007-08-23,2011-04-27,Completed,Diseases [C] - Nervous System Diseases [C10],The study will enroll patients who have not previously received treatment to suppress Multiple Sclerosis (MS). The main objective of this study is to establish the efficacy of alemtuzumab as a treatment for relapsing-remitting multiple sclerosis (MS) in comparison with Rebif® (interferon beta-1a).,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
21300,2009-012587-14,Portugal,Czechia - SUKL,2009-11-12,2013-10-08,Completed,Diseases [C] - Nervous System Diseases [C10],"The primary objective of this study is to evaluate the safety and tolerability of ESL as adjunctive therapy in patients aged ≥65 years with partial epilepsy, over a 26-week Treatment Period.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Elderly (>=65 years),"Female, Male"
21302,2010-021394-37,Germany,Germany - BfArM,2010-12-03,2012-11-20,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to demonstrate that rotigotine improves nonmotor symptoms compared to placebo in subjects with Parkinson’s disease.,"Therapy, Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21316,2010-022798-32,Italy,Germany - BfArM,2010-11-23,2011-11-14,Completed,Diseases [C] - Nervous System Diseases [C10],To evaluate the analgesic efficacy of DKP.TRIS and TRAM.HCl given as fixed combinations and the analgesic efficacy of each single component in comparison to placebo on moderate to severe pain following impacted third mandibular molar tooth extraction. Ibuprofen will be used as an active control to validate the pain model.,"Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21321,2009-012394-35,Germany,Germany - PEI,2010-02-02,2012-12-18,Completed,Diseases [C] - Nervous System Diseases [C10],• To assess the safety and tolerability of up to 7 repeated injections of CAD106 with or without adjuvant (Alum or MF59) in patients with mild Alzheimer’s Disease (AD) over 90 weeks. • To compare the immunogenicity of CAD106 with Alum or MF59 in patients with mild Alzheimer’s Disease (AD) as measured by the titers of Aβ-specific IgG in serum across regimens and in reference to non-adjuvanted CAD106.,"Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21322,2010-022638-96,Sweden,Sweden - MPA,2011-04-04,2014-01-06,Completed,Diseases [C] - Nervous System Diseases [C10],To assess the efficacy of AFQ056 100 mg BID versus placebo in reducing the ABC-C Total score (using the FXS- specific algorithm - ABC-CFX) after 12 weeks of treatment in FXS patients in Stratum I,"Safety, Efficacy",Therapeutic exploratory (Phase II),Adolescents (12-17 years),"Female, Male"
21323,2009-012394-35,Sweden,Sweden - MPA,2009-12-22,2012-12-18,Completed,Diseases [C] - Nervous System Diseases [C10],• To assess the safety and tolerability of up to 7 repeated injections of CAD106 with or without adjuvant (Alum or MF59) in patients with mild Alzheimer’s Disease (AD) over 90 weeks. • To compare the immunogenicity of CAD106 with Alum or MF59 in patients with mild Alzheimer’s Disease (AD) as measured by the titers of Aβ-specific IgG in serum across regimens and in reference to non-adjuvanted CAD106.,"Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21326,2010-022638-96,Netherlands,Netherlands - Competent Authority,2013-05-08,,Completed,Diseases [C] - Nervous System Diseases [C10],To assess the efficacy of AFQ056 100 mg BID versus placebo in reducing the ABC-C Total score (using the FXS- specific algorithm - ABC-CFX) after 12 weeks of treatment in FXS patients in Stratum I,"Safety, Efficacy",Therapeutic exploratory (Phase II),Adolescents (12-17 years),"Female, Male"
21328,2010-021394-37,Germany,Czechia - SUKL,2010-12-14,2013-01-25,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to demonstrate that rotigotine improves nonmotor symptoms compared to placebo in subjects with Parkinson’s disease.,"Therapy, Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21333,2010-022638-96,Denmark,Denmark - DHMA,2011-04-18,,Completed,Diseases [C] - Nervous System Diseases [C10],To assess the efficacy of AFQ056 100 mg BID versus placebo in reducing the ABC-C Total score (using the FXS- specific algorithm - ABC-CFX) after 12 weeks of treatment in FXS patients in Stratum I,"Safety, Efficacy",Therapeutic exploratory (Phase II),Adolescents (12-17 years),"Female, Male"
21334,2011-001986-41,United States,Spain - AEMPS,2011-07-08,2012-09-20,Completed,Diseases [C] - Nervous System Diseases [C10],"The primary objective of this study is to compare the efficacy of NKTR-118 12.5 and 25 mg with placebo in the treatment of patients who have OIC. Comparar la eficacia de NKTR-118 12,5 y 25 mg con placebo en el tratamiento de los pacientes con estreñimiento inducido por opioides (EIO).","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21335,2010-021394-37,Germany,Belgium - FPS Health-DGM,2010-12-14,2012-11-20,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to demonstrate that rotigotine improves nonmotor symptoms compared to placebo in subjects with Parkinson’s disease.,"Therapy, Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21340,2009-012587-14,Portugal,Austria - BASG,2009-12-14,2013-10-08,Completed,Diseases [C] - Nervous System Diseases [C10],"The primary objective of this study is to evaluate the safety and tolerability of ESL as adjunctive therapy in patients aged ≥65 years with partial epilepsy, over a 26-week Treatment Period.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Elderly (>=65 years),"Female, Male"
21342,2010-022638-96,Spain,Spain - AEMPS,2011-10-18,2014-01-06,Completed,Diseases [C] - Nervous System Diseases [C10],Evaluar la eficacia de tres dosis de AFQ056 frente a placebo en la reducción de la puntuación total de la ABC-C en el estrato 1.,"Safety, Efficacy",Therapeutic exploratory (Phase II),Adolescents (12-17 years),"Female, Male"
21344,2010-021394-37,Germany,Austria - BASG,2011-01-05,2012-08-29,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to demonstrate that rotigotine improves nonmotor symptoms compared to placebo in subjects with Parkinson’s disease.,"Therapy, Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21349,2010-022638-96,Germany,Germany - BfArM,2011-04-26,2014-01-06,Completed,Diseases [C] - Nervous System Diseases [C10],To assess the efficacy of AFQ056 100 mg BID versus placebo in reducing the ABC-C Total score (using the FXS-specific algorithm - ABC-CFX) after 12 weeks of treatment in FXS patients in Stratum I Um die Wirksamkeit von AFQ056 100 mg zwei mal täglich versus Placebo nach 12 Wochen Behandlung zu untersuchen. Hierzu wird die Reduzierung des ABC-C Total Scores (FXS-spezifische Algorythmus ABC-CFX) untersucht.,"Safety, Efficacy",Therapeutic exploratory (Phase II),Adolescents (12-17 years),"Female, Male"
21356,2010-022638-96,Switzerland,Belgium - FPS Health-DGM,2013-04-18,2014-01-06,Completed,Diseases [C] - Nervous System Diseases [C10],To assess the efficacy of AFQ056 100 mg BID versus placebo in reducing the ABC-C Total score (using the FXS- specific algorithm - ABC-CFX) after 12 weeks of treatment in FXS patients in Stratum I,"Safety, Efficacy",Therapeutic exploratory (Phase II),Adolescents (12-17 years),"Female, Male"
21361,2010-021394-37,Germany,Bulgarian Drug Agency,2011-06-02,2012-11-20,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to demonstrate that rotigotine improves nonmotor symptoms compared to placebo in subjects with Parkinson’s disease.,"Therapy, Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21368,2010-022798-32,Italy,UK - MHRA,2010-10-29,2011-10-14,Completed,Diseases [C] - Nervous System Diseases [C10],To evaluate the analgesic efficacy of DKP.TRIS and TRAM.HCl given as fixed combinations and the analgesic efficacy of each single component in comparison to placebo on moderate to severe pain following impacted third mandibular molar tooth extraction. Ibuprofen will be used as an active control to validate the pain model.,"Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21375,2010-022638-96,Switzerland,,2011-10-31,,,Diseases [C] - Nervous System Diseases [C10],• To assess the efficacy of three doses of AFQ056 versus placebo in reducing the ABC-C Total score in Stratum I,"Safety, Efficacy",Therapeutic exploratory (Phase II),Adolescents (12-17 years),"Female, Male"
21376,2010-021394-37,,Italy - Italian Medicines Agency,2011-12-28,2012-11-20,Completed,Diseases [C] - Nervous System Diseases [C10],"The primary objective of this study is to demonstrate that rotigotine improves nonmotor symptoms compared to placebo in subjects with Parkinson’s disease. Lo studio si propone come obiettivo primario quello di dimostrare, nel confronto con placebo, che la rotigotina migliora i sintomi non motori nei pazienti affetti da Morbo di Parkinson","Therapy, Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21378,2010-022798-32,Italy,Poland - Office for Medicinal Products,2011-05-10,2011-10-14,Completed,Diseases [C] - Nervous System Diseases [C10],To evaluate the analgesic efficacy of DKP.TRIS and TRAM.HCl given as fixed combinations and the analgesic efficacy of each single component in comparison to placebo on moderate to severe pain following impacted third mandibular molar tooth extraction. Ibuprofen will be used as an active control to validate the pain model.,"Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21380,2009-012587-14,Portugal,Portugal - INFARMED,2009-12-30,2013-10-08,Completed,Diseases [C] - Nervous System Diseases [C10],"The primary objective of this study is to evaluate the safety and tolerability of ESL as adjunctive therapy in patients aged ≥65 years with partial epilepsy, over a 26-week Treatment Period.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Elderly (>=65 years),"Female, Male"
21389,2010-021394-37,Germany,Slovakia - SIDC (Slovak),2010-12-16,2012-11-20,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to demonstrate that rotigotine improves nonmotor symptoms compared to placebo in subjects with Parkinson’s disease.,"Therapy, Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21402,2009-012587-14,Portugal,Germany - BfArM,2010-02-12,2013-10-08,Completed,Diseases [C] - Nervous System Diseases [C10],"The primary objective of this study is to evaluate the safety and tolerability of ESL as adjunctive therapy in patients aged ≥65 years with partial epilepsy, over a 26-week Treatment Period.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Elderly (>=65 years),"Female, Male"
21408,2010-021394-37,Germany,Hungary - National Institute of Pharmacy,2010-12-13,2012-11-20,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to demonstrate that rotigotine improves nonmotor symptoms compared to placebo in subjects with Parkinson’s disease.,"Therapy, Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21409,2009-012587-14,Portugal,Bulgarian Drug Agency,2011-01-17,2013-10-08,Completed,Diseases [C] - Nervous System Diseases [C10],"The primary objective of this study is to evaluate the safety and tolerability of ESL as adjunctive therapy in patients aged ≥65 years with partial epilepsy, over a 26-week Treatment Period.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Elderly (>=65 years),"Female, Male"
21436,2017-004642-20,Switzerland,Spain - AEMPS,2018-06-12,2020-02-25,Completed,Diseases [C] - Nervous System Diseases [C10],To evaluate the efficacy of 25 mg and 50 mg ACT-541468 on objective sleep parameters in subjects with insomnia disorder. Evaluar la eficacia de ACT-541468 en dosis de 25 mg y 50 mg según parámetros de sueño objetivos en sujetos con un trastorno de insomnio.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21437,2017-004642-20,Switzerland,Italy - Italian Medicines Agency,2021-02-17,,Completed,Diseases [C] - Nervous System Diseases [C10],To evaluate the efficacy of 25 mg and 50 mg ACT-541468 on objective sleep parameters in subjects with insomnia disorder. Valutare l'efficacia di ACT-541468 25 mg e 50 mg su parametri oggettivi del sonno in soggetti affetti da insonnia.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21441,2017-004642-20,Switzerland,Germany - BfArM,2018-05-17,2020-02-25,Completed,Diseases [C] - Nervous System Diseases [C10],To evaluate the efficacy of 25 mg and 50 mg ACT-541468 on objective sleep parameters in subjects with insomnia disorder.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21473,2017-004642-20,Switzerland,Denmark - DHMA,2018-05-14,2020-02-25,Completed,Diseases [C] - Nervous System Diseases [C10],To evaluate the efficacy of 25 mg and 50 mg ACT-541468 on objective sleep parameters in subjects with insomnia disorder.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21531,2018-000148-24,Norway,Norway - NOMA,2018-04-10,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"The purpose of this study is to explore the safety of transfusion of plasma from exercise trained donors (ExPlas) compared to Octaplasma®, a commercially available virus inactivated plasma product pooled from approximately 1000 donors, and Sodium Chloride 0.9% (saline) in patients in the early symptomatic phase of AD and provide pilot data regarding efficacy. An additional aim is to provide advancements to the field by exploring therapeutical effects on AD of blood-borne factors.  Primary endpoint of ExPlas Proportion of patients with adverse events after 1 year as a measure of safety and tolerability, and number of subjects who comply with the research protocol as a measure of feasibility.  Primærmål for studien er å teste sikkerhet og tolerabilitet av plasma transfusjoner fra trente donorer i pasienter med tidlig Alzheimers sykdom.","Prophylaxis, Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21849,2008-006333-27,United Kingdom,Estonia - SAM,2009-05-11,2013-10-24,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to determine the efficacy of BIIB017 in reducing the Annualized Relapse Rate (ARR) in subjects with RMS at 1 year.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21880,2008-006333-27,United Kingdom,Germany - BfArM,2009-05-18,2013-10-24,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to determine the efficacy of BIIB017 in reducing the Annualized Relapse Rate (ARR) in subjects with RMS at 1 year.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21889,2008-006333-27,United Kingdom,Bulgarian Drug Agency,2009-09-16,2013-10-24,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to determine the efficacy of BIIB017 in reducing the Annualized Relapse Rate (ARR) in subjects with RMS at 1 year.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21899,2008-006333-27,United Kingdom,Netherlands - Competent Authority,2009-05-29,2013-10-24,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to determine the efficacy of BIIB017 in reducing the Annualized Relapse Rate (ARR) in subjects with RMS at 1 year.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21932,2008-006333-27,United Kingdom,Czechia - SUKL,2009-07-03,2013-10-24,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to determine the efficacy of BIIB017 in reducing the Annualized Relapse Rate (ARR) in subjects with RMS at 1 year.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21933,2008-006333-27,United Kingdom,Belgium - FPS Health-DGM,2009-05-27,2013-10-24,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to determine the efficacy of BIIB017 in reducing the Annualized Relapse Rate (ARR) in subjects with RMS at 1 year.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
21937,2008-006333-27,United Kingdom,UK - MHRA,2010-10-18,2013-10-24,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to determine the efficacy of BIIB017 in reducing the Annualized Relapse Rate (ARR) in subjects with RMS at 1 year.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
22144,2005-004334-41,Germany,Czechia - SUKL,2006-01-12,,Prematurely Ended,Diseases [C] - Nervous System Diseases [C10],"To make treatment with laquinimod available to all subjects who previously participated in both the LAQ/5062 study and the LAQ/5063 active double-blind phase (completion of the full 36 weeks or as requested by the Sponsor). To assess the long-term safety, and tolerability in the group that received active treatment in LAQ/5062 protocol and additional short term safety and tolerability in the group who received placebo treatment. The LAQ/5063 OL phase will assess long-term safety and tolerability of 0.6 mg laquinimod administered once daily. Further efficacy data will be obtained by comparing baseline to termination in the group who received placebo treatment in LAQ/5062 (core study) protocol.","Therapy, Safety",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
22156,2005-004334-41,Germany,Hungary - National Institute of Pharmacy,2005-11-04,,Prematurely Ended,Diseases [C] - Nervous System Diseases [C10],"To make treatment with laquinimod available to all subjects who previously participated in both the LAQ/5062 study and the LAQ/5063 active double-blind phase (completion of the full 36 weeks or as requested by the Sponsor). To assess the long-term safety, and tolerability in the group that received active treatment in LAQ/5062 protocol and additional short term safety and tolerability in the group who received placebo treatment. The LAQ/5063 OL phase will assess long-term safety and tolerability of 0.6 mg laquinimod administered once daily. Further efficacy data will be obtained by comparing baseline to termination in the group who received placebo treatment in LAQ/5062 (core study) protocol.","Therapy, Safety",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
22190,2005-004334-41,Germany,UK - MHRA,2005-10-31,2017-05-09,Prematurely Ended,Diseases [C] - Nervous System Diseases [C10],"To make treatment with laquinimod available to all subjects who previously participated in both the LAQ/5062 study and the LAQ/5063 active double-blind phase (completion of the full 36 weeks or as requested by the Sponsor). To assess the long-term safety, and tolerability in the group that received active treatment in LAQ/5062 protocol and additional short term safety and tolerability in the group who received placebo treatment. The LAQ/5063 OL phase will assess long-term safety and tolerability of 0.6 mg laquinimod administered once daily. Further efficacy data will be obtained by comparing baseline to termination in the group who received placebo treatment in LAQ/5062 (core study) protocol.","Therapy, Safety",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
22197,2005-004334-41,Germany,Germany - BfArM,2005-11-21,2017-05-09,Completed,Diseases [C] - Nervous System Diseases [C10],"To make treatment with laquinimod available to all subjects who previously participated in both the LAQ/5062 study and the LAQ/5063 active double-blind phase (completion of the full 36 weeks or as requested by the Sponsor). To assess the long-term safety, and tolerability in the group that received active treatment in LAQ/5062 protocol and additional short term safety and tolerability in the group who received placebo treatment. The LAQ/5063 OL phase will assess long-term safety and tolerability of 0.6 mg laquinimod administered once daily. Further efficacy data will be obtained by comparing baseline to termination in the group who received placebo treatment in LAQ/5062 (core study) protocol.","Therapy, Safety",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
22225,2005-004334-41,,Italy - Italian Medicines Agency,2006-03-01,,Prematurely Ended,Diseases [C] - Nervous System Diseases [C10],"To make treatment with laquinimod available to all subjects who previously participated in both LAQ/5062 study and the LAQ/5063 active double-blind phase (completion of the full 36 weeks or as requested by the Sponsor). To assess the long-term safety, and tolerability in the group that received active treatment in LAQ/5062 protocol and additional short term safety and tolerability in the group who received placebo treatment. LAQ/5063 OL phase will assess long-term safety and tolerability of 0.6 mg laquinimod once daily. Rendere disponibile il trattamento con Laquinimod a tutti i pazienti che hanno partecipato allo studio LAQ/5062 e alla fase attiva in doppio cieco LAQ/5063 (completamento delle 36 settimane o come richiesto dallo Sponsor). Valutare, a lungo termine, sicurezza, tollerabilita` nel gruppo che ha ricevuto il trattamento attivo nel protocollo LAQ/5062 e un`ulteriore valutazione a breve termine della sicurezza e tollerabilita` nel gruppo che ha ricevuto il trattamento con placebo. La fase LAQ/5063 OL valutera` sicurezza e la tollerabilita` a lungo termine di 0.6 mg laquinimod somministrato una volta al giorno.","Therapy, Safety",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
22458,2008-004012-13,,Italy - Italian Medicines Agency,2009-04-14,2010-11-19,Completed,Diseases [C] - Nervous System Diseases [C10],"The primary objective is to evaluate efficacy of 24 weeks treatment of 3 fixed doses of RO5313534 (1, 5 and 15 mg/day) added to donepezil (5 or 10 mg/day) on a cognitive endpoint (measured with the ADAS-Cog) as compared to placebo added to donepezil. L obiettivo primario e` valutare l efficacia di 24 settimane di trattamento con 3 dosi fisse di RO5313534 (1, 5 e 15 mg/die) aggiunto a donepezil (5 o 10 mg/die) su un endpoint cognitivo (misurato mediante ADAS-Cog) rispetto a placebo aggiunto a donepezil.","Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
22607,2011-005906-32,Germany,Denmark - DHMA,2012-10-08,2017-10-31,Completed,Diseases [C] - Nervous System Diseases [C10],The objective is to test efficacy and safety of MRI-based intravenous thrombolysis with Alteplase in patients waking up with stroke symptoms or patients with unknown symptom onset.,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
22608,2015-005263-16,Austria,Sweden - MPA,2016-07-06,2020-06-08,Completed,Diseases [C] - Nervous System Diseases [C10],"To investigate the safety and tolerability of 200mg bid and 400mg bid doses of LM11A-31-BHS (free base) administered for a period of 26 weeks in comparison to placebo. Safety will be assessed through adverse event reporting, clinical laboratory, ECG and a standard range of patient physical evaluations including a suicide severity rating scale (C-SSRS).","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
22612,2015-005263-16,Austria,Austria - BASG,2016-05-25,2020-06-08,Completed,Diseases [C] - Nervous System Diseases [C10],"To investigate the safety and tolerability of 200mg bid and 400mg bid doses of LM11A-31-BHS (free base) administered for a period of 26 weeks in comparison to placebo. Safety will be assessed through adverse event reporting, clinical laboratory, ECG and a standard range of patient physical evaluations including a suicide severity rating scale (C-SSRS).    Die Untersuchung der Sicherheit und Verträglichkeit von zwei unterschiedlichen Dosen, zweimal täglich 200mg oder zweimal täglich 400mg, von LM11A-31-BHS (freie Base), die über einen Zeitraum von 26 Wochen verabreicht werden im Vergleich zu Placebo. Die Sicherheit wird mittels Bericht über unerwünschte Ereignisse, das klinische Labor, EKG und einer physischen Standartuntersuchung des Patienten inklusive des ""suicide severity rating scale"" (C-SSRS). ermittelt.","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
22623,2015-005263-16,Austria,Czechia - SUKL,2016-06-06,2020-06-08,Completed,Diseases [C] - Nervous System Diseases [C10],"To investigate the safety and tolerability of 200mg bid and 400mg bid doses of LM11A-31-BHS (free base) administered for a period of 26 weeks in comparison to placebo. Safety will be assessed through adverse event reporting, clinical laboratory, ECG and a standard range of patient physical evaluations including a suicide severity rating scale (C-SSRS).    Zjištění bezpečnosti a snášenlivosti dávek 200 mg bid a 400 mg bid přípravku LM11A-31-BHS (volná báze), podávaných po dobu 26 týdnů ve srovnání s placebem. Bezpečnost bude hodnocena pomocí hlášení nežádoucích účinků, klinické laboratoře, EKG a standardních vyšetření pacienta včetně stupnice hodnotící sebevražednou závažnost (C-SSRS).","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
22634,2011-005906-32,Germany,UK - MHRA,2012-10-02,2017-09-21,Completed,Diseases [C] - Nervous System Diseases [C10],"The objective is to test the efficacy and safety of intravenous thrombolysis with Alteplase (rtPA) in patients waking up with stroke symptoms or patients with unknown time of symptom onset, in whom MRI scanning indicates the onset to have been within 4.5 hours.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
22637,2015-005263-16,Austria,Germany - BfArM,2016-06-07,2020-06-08,Completed,Diseases [C] - Nervous System Diseases [C10],"To investigate the safety and tolerability of 200mg bid and 400mg bid doses of LM11A-31-BHS (free base) administered for a period of 26 weeks in comparison to placebo. Safety will be assessed through adverse event reporting, clinical laboratory, ECG and a standard range of patient physical evaluations including a suicide severity rating scale (C-SSRS).    Die Untersuchung der Sicherheit und Verträglichkeit von zwei unterschiedlichen Dosen, zweimal täglich 200mg oder zweimal täglich 400mg, von LM11A-31-BHS (freie Base), die über einen Zeitraum von 26 Wochen verabreicht werden im Vergleich zu Placebo. Die Sicherheit wird mittels Bericht über unerwünschte Ereignisse, das klinische Labor, EKG und einer physischen Standartuntersuchung des Patienten inklusive des ""suicide severity rating scale"" (C-SSRS). ermittelt.","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
22640,2011-005906-32,Germany,Austria - BASG,2016-02-08,2017-09-21,Prematurely Ended,Diseases [C] - Nervous System Diseases [C10],The objective is to test efficacy and safety of MRI-based intravenous thrombolysis with Alteplase in patients waking up with stroke symptoms or patients with unknown symptom onset.,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
