RNEC Number,EudraCT Number,Protocol Number,Type of Study,Sponsor's Name,Title of the trial,Recruitment Status,Date of Global End,Infarmed Authorization Date,CEC Opinion Date,Non-technical title,Paediatric Investigation Plan,Medical condition(s),Therapeutic Confirmatory (Phase II),Therapeutic Confirmatory (Phase III),Therapeutic Confirmatory (Phase IV),Age_Range,Gender
3981,2017-003723-29,JBT101-CF-002,Interventional studies with investigational medicinal products,"Corbus Pharmaceuticals, Inc.","A Multicenter, Randomized, Double-Blind, Placebo-Controlled Phase 2 Trial to Evaluate Efficacy and Safety of Lenabasum in Cystic Fibrosis",Not Commenced,,28/05/2018,19/11/2018,A study of safety and efficacy of lenabasum in Cystic Fibrosis,No,Cystic Fibrosis (CF),Yes,,,"Under 18 , Adult","Female , Male"
4001,2017-004293-33,RPC01-3202,Interventional studies with investigational medicinal products,Celgene International II Sàrl,"Induction Study #2 - A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled Study of Oral Ozanimod as Induction Therapy for Moderately to Severely Active Crohn¿s Disease",Not Commenced,,30/05/2018,19/12/2018,Multicenter Study of Oral Ozanimod as Induction Therapy in patients with Moderately to Severely Active Crohn¿s Disease,No,Moderately to Severely Active Crohn¿s Disease,,Yes,,"Adult , Elderly","Female , Male"
4021,2017-001365-24,WN39658,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A PHASE III, MULTICENTER, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP, EFFICACY, AND SAFETY STUDY OF GANTENERUMAB IN PATIENTS WITH EARLY (PRODROMAL TO MILD) ALZHEIMER¿S DISEASE
",Active,,06/06/2018,02/11/2018,A Study to Evaluate Efficacy and Safety of Gantenerumab in Patients with Early Alzheimer¿s Disease,No,Alzheimer¿s Disease (AD),,Yes,,"Adult , Elderly","Female , Male"
4061,2017-003336-37,HBA_001,Interventional studies with investigational medicinal products,"SGHL - SOCIEDADE GESTORA DO HOSPITAL DE LOURES, S.A. - HOSPITAL BEATRIZ ÂNGELO",CA2209-9G7: Phase II multi-institutional proof of concept single-arm trial of Nivolumab in the treatment of patients with platinum-recurrent or platinum-refractory metastatic germ cell tumors,Active,,19/06/2018,25/06/2018,"Phase II multi-institutional clinical trial of Nivolumab for patients with germ cell tumors who never respond or stopped responding to chemotherapy with platinum drug
",No,Metastatic germ cell tumors,Yes,,,"Adult , Elderly","Female , Male"
4101,2017-004011-39,CACZ885T2301,Interventional studies with investigational medicinal products,Novartis Pharma AG,"A phase III, multicenter, randomized, double blind, placebo-controlled study evaluating the efficacy and safety of canakinumab versus placebo as adjuvant therapy in adult subjects with stages AJCC/UICC v. 8 II-IIIA and IIIB (T>5cm N2) completely resected (R0) non-small cell lung cancer (NSCLC)  ",Ended,,21/06/2018,16/07/2018,Study of efficacy and safety of canakinumab as adjuvant therapy in adult subjects with stages AJCC/UICC v. 8 II-IIIA and IIIB (T>5cm N2) completely resected non-small cell lung cancer,No,stages AJCC/UICC v. 8 II-IIIA and IIIB (T>5cm N2) completely resected (R0) non-small cell lung cancer (NSCLC),,Yes,,"Adult , Elderly","Female , Male"
4121,2017-002932-18,42756493-BLC3001,Interventional studies with investigational medicinal products,Janssen-Cilag International N.V.,A Phase 3 Study of Erdafitinib Compared with Vinflunine or Docetaxel or Pembrolizumab in Subjects with Advanced Urothelial Cancer and Selected FGFR Gene Aberrations,Active,,28/06/2018,23/11/2018,A Study of Erdafitinib Compared with Vinflunine or Docetaxel or Pembrolizumab in Subjects with Advanced Urothelial Cancer,No,Advanced Urothelial Cancer ,,Yes,,"Adult , Elderly","Female , Male"
4201,2018-000298-65,BAY1021189/19334,Interventional studies with investigational medicinal products,   Bayer A.G.                                                                                       ,"A randomized parallel-group, placebo-controlled, double-blind, multi-center trial to eValuate the effIcacy and safeTy of the orAL sGC stImulator vericiguaT to improve phYsical functioning in activities of daily living in patients with heart failure and preserved ejection fraction (VITALITY-HFpEF)",Ended,,28/06/2018,04/06/2018,A global study to compare the efficacy and safety of two different doses of vericiguat with placebo to improve physical functioning in activities of daily living in patients with heart failure and preserved ejection fraction (VITALITY-HFpEF),No,Heart failure and preserved ejection fraction,Yes,,,"Adult , Elderly","Female , Male"
4221,2016-004677-40,M16-067,Interventional studies with investigational medicinal products,AbbVie Deutschland GmbH & Co. KG,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Induction Study to Evaluate the Efficacy and Safety of Risankizumab in Subjects with Moderately to Severely Active Ulcerative Colitis
",Ended,,03/07/2018,06/08/2018,"A Study to Evaluate the Efficacy and Safety of Risankizumab in Subjects with Moderately to Severely Active Ulcerative Colitis
",No,Ulcerative Colitis,Yes,Yes,,"Under 18 , Adult","Female , Male"
4241,2016-004676-22,M16-066,Interventional studies with investigational medicinal products,AbbVie Deutschland GmbH & Co. KG,"A Multicenter, Randomized, Double-Blind, Placebo Controlled 52-Week Maintenance and an Open-Label Extension Study of the Efficacy and Safety of Risankizumab in Subjects with Ulcerative Colitis ",Active,,03/07/2018,06/08/2018,A Study to Assess the Efficacy and Safety of Risankizumab in Subjects with Ulcerative Colitis ,No,Ulcerative Colitis,,Yes,,"Under 18 , Adult , Elderly","Female , Male"
4261,2017-002632-17,MS700568_0021,Interventional studies with investigational medicinal products,Merck KGaA,A 2-year Prospective Study to Assess Health-related Quality of Life in Subjects with Highly-Active Relapsing Multiple Sclerosis Treated with Mavenclad®,Not Commenced,,22/05/2018,16/07/2018,A Quality of Life Study for People with Relapsing Multiple Sclerosis,No,Relapsing multiple sclerosis,,,Yes,Adult,"Female , Male"
4301,2017-004742-23,CRTH258B2301,Interventional studies with investigational medicinal products,Novartis Pharma AG,"A Two-Year, Three-Arm, Randomized, Double Masked, Multicenter, Phase III Study Assessing the Efficacy and Safety of Brolucizumab versus Aflibercept in Adult Patients with Visual Impairment due to Diabetic Macular Edema (KESTREL)",Ended,,27/07/2018,02/08/2018,Study Assessing the Efficacy and Safety of Brolucizumab versus Aflibercept in Adult Patients with Visual Impairment due to Diabetic Macular Edema,No,diabetic macular edema,,Yes,,"Adult , Elderly","Female , Male"
4341,2017-003823-31,AG348-C-006,Interventional studies with investigational medicinal products,"Agios Pharmaceuticals, Inc.","A Phase 3, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of AG-348 in Not Regularly Transfused Adult Subjects With Pyruvate Kinase Deficiency",Not Commenced,,20/07/2018,25/02/2019,"A Phase 3, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of AG-348 in Not Regularly Transfused Adult Subjects With Pyruvate Kinase Deficiency",No,Pyruvate Kinase Deficiency,,Yes,,Adult,"Female , Male"
4361,2017-000996-98,CSL112_3001,Interventional studies with investigational medicinal products,"CSL Behring, LLC","A Phase 3, Multicenter, Double-blind, Randomized, Placebo-controlled, Parallel-group Study to Investigate the Efficacy and Safety of CSL112 in Subjects with Acute Coronary Syndrome",Active,,06/06/2018,09/11/2018,Study to Investigate CSL112 in Subjects with Acute Coronary Syndrome,No,Acute Coronary Syndrome,,Yes,,"Adult , Elderly","Female , Male"
4381,2017-003344-21,7465-CL-0301,Interventional studies with investigational medicinal products,"Astellas Pharma Global Development, Inc. (APGD)","An Open-Label, Randomized Phase 3 Study to Evaluate Enfortumab Vedotin vs Chemotherapy in Subjects with Previously Treated Locally Advanced or Metastatic Urothelial Cancer (EV-301)",Ended,,12/09/2018,13/11/2018,"An Open-Label, Randomized Phase 3 Study to Evaluate Enfortumab Vedotin vs Chemotherapy in Subjects with Previously Treated Locally Advanced or Metastatic Urothelial Cancer (EV-301)",No,Locally advanced or metastatic urothelial cancer,,Yes,,"Adult , Elderly","Female , Male"
4401,2017-004331-37,BO40336,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A PHASE III, OPEN-LABEL, RANDOMIZED STUDY TO EVALUATE THE EFFICACY AND SAFETY OF ADJUVANT ALECTINIB VERSUS ADJUVANT PLATINUM-BASED CHEMOTHERAPY IN PATIENTS WITH COMPLETELY RESECTED STAGE IB (TUMORS ¿ 4 CM) TO STAGE IIIA ANAPLASTIC LYMPHOMA KINASE POSITIVE NON-SMALL CELL LUNG CANCER",Active,,17/05/2018,27/09/2018,A Study to Evaluate the Efficacy and Safety of Adjuvant Alectinib versus Adjuvant Platinum-Based Chemotherapy in Patients with Completely Resected Stage IB (tumors ¿4 cm)  to Stage IIIA Anaplastic Lymphoma Kinase-Positive Non-Small Cell Lung Cancer,No,"Completely resected, Stage IB (tumors ¿4 cm)  to Stage IIIA, Anaplastic Lymphoma Kinase (ALK)-Positive Non-Small Cell Lung Cancer (NSCLC).",,Yes,,"Adult , Elderly","Female , Male"
4421,2017-002530-23,MYK-461-005,Interventional studies with investigational medicinal products,"MyoKardia, Inc.","A Randomized, Double blind, Placebo controlled Clinical Study to Evaluate Mavacamten (MYK-461) in Adults with Symptomatic Obstructive Hypertrophic Cardiomyopathy",Ended,,28/08/2018,10/10/2018,A study to evaluate the safety and benefit of Mavacamten (MYK 461) in adults with an inherited heart disease causing thickening of the heart muscle,No,Hypertrophic Cardiomyopathy,,Yes,,"Adult , Elderly","Female , Male"
4441,2017-004294-14,RPC01-3203,Interventional studies with investigational medicinal products,Celgene International II Sàrl,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled Study of Oral Ozanimod as Maintenance Therapy for Moderately to Severely Active Crohn¿s Disease",Not Commenced,,12/09/2018,29/10/2018,Multicenter Study of Oral Ozanimod as Maintenance Therapy in patients with Moderately to Severely Active Crohn¿s Disease,No,Moderately to Severely Active Crohn¿s Disease,,Yes,,"Adult , Elderly","Female , Male"
4461,2015-004207-22,CLCZ696B2319,Interventional studies with investigational medicinal products,Novartis Pharma AG,"Multicenter, open-label, study to evaluate safety, tolerability, pharmacokinetics and, pharmacodynamics of LCZ696 followed by a 52-week randomized, double-blind, parallel group, active-controlled study to evaluate the efficacy and safety of LCZ696 compared with enalapril in pediatric patients from1 month to < 18 years of age with heart failure due to systemic left ventricle systolic dysfunction",Active,,03/10/2018,24/09/2018,"Pharmacokinetics, pharmacodynamics, safety and efficacy study of LCZ696 in children (1 month to < 18 years) with heart failure",Yes,Pediatric heart failure  1 month to <18 years old,Yes,Yes,,Under 18,"Female , Male"
4481,2017-000576-29,SHP647-306,Interventional studies with investigational medicinal products,"Shire Human Genetic Therapies, Inc.","A Phase 3 Randomized, Double-blind, Placebo-controlled, Parallel-group Efficacy and Safety Study of SHP647 as Induction Therapy in Subjects With Moderate to Severe Crohn¿s Disease (CARMEN CD 306)",Active,,09/08/2018,07/09/2018,"Research study to determine whether an investigational drug, SHP647, is safe and effective in the treatment of moderate to severe Crohn¿s Disease, compared with placebo (dummy treatment) ¿ using a randomised and blinded study design  (investigator and patients are not aware whether they receive study drug or placebo)(CARMEN CD 306).",No,Crohn¿s disease,,Yes,,"Under 18 , Adult , Elderly","Female , Male"
4501,2017-000617-23,SHP647-307,Interventional studies with investigational medicinal products,"Shire Human Genetic Therapies, Inc.","A Phase 3 Randomized, Double-blind, Placebo-controlled, Parallel-group Efficacy and Safety Study of SHP647 as Maintenance
Therapy in Subjects With Moderate to Severe Crohn¿s Disease (CARMEN CD 307)",Active,,17/08/2018,08/10/2018,"Research study to determine whether an investigational drug, SHP647, is safe and effective in the treatment of moderate to severe Crohn¿s Disease, compared with placebo (dummy treatment) ¿ using a randomised and blinded study design (investigator and patients are not aware whether they receive study drug or placebo.",No,Crohn's disease,,Yes,,"Under 18 , Adult , Elderly","Female , Male"
4561,2017-004869-27,MK-3475-756,Interventional studies with investigational medicinal products,Merck Sharp & Dohme LLC,"A Randomized, Double-Blind, Phase III Study of Pembrolizumab versus Placebo in Combination with Neoadjuvant Chemotherapy and Adjuvant Endocrine Therapy for the Treatment of High-Risk Early-Stage Estrogen Receptor-Positive, Human Epidermal Growth Factor Receptor 2-Negative (ER+/HER2¿) Breast Cancer (KEYNOTE-756)",Active,,16/08/2018,04/02/2019,A Clinical Trial for Newly Diagnosed High Risk ER+/HER2¿ (Estrogen Receptor Positive/ Human Epidermal growth factor receptor Negative) Breast Cancer,No,"High-Risk Early-Stage Estrogen Receptor-Positive, Human Epidermal Growth Factor Receptor 2-Negative (ER+/HER2¿) Breast Cancer",,Yes,,"Adult , Elderly","Female , Male"
4581,2017-003510-16,EFC15156,Interventional studies with investigational medicinal products,"Lexicon Pharmaceuticals, Inc.","A Randomized, Double-blind, Placebo-controlled, Parallel-group, Multicenter Study to Evaluate the Effects of Sotagliflozin on Clinical Outcomes in Hemodynamically Stable Patients with Type 2 Diabetes POST Worsening Heart Failure",Not Commenced,,16/08/2018,02/11/2018,Effect of Sotagliflozin on Cardiovascular Events in Patients with Type 2 Diabètes Post Worsening Heart Failure (SOLOIST-WHF Trial),No,Cardiovascular diseases,,Yes,,"Adult , Elderly","Female , Male"
4641,2017-004854-41,252LH301,Interventional studies with investigational medicinal products,Biogen Idec Research Limited,"Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Multicenter, Phase 3 Study to Evaluate the Efficacy and Safety of Intravenous BIIB093 (Glibenclamide) for Severe Cerebral Edema following Large Hemispheric Infarction",Not Commenced,,23/08/2018,,Study to evaluate the use of the investigational drug BIIB093 versus placebo in patients with a large hemispheric infarction.,No,Cerebral edema  following Large Hemispheric Infarction,,Yes,,"Adult , Elderly","Female , Male"
4661,2017-003190-34,ACE-536-MDS-002,Interventional studies with investigational medicinal products,Celgene Corporation,"A Phase 3, Open -label, Randomized Study to Compare the Efficacy and Safety of Luspatercept (ACE-536) versus Epoetin Alfa for the Treatment of Anemia Due to IPSS-R Very Low, Low or Intermediate Risk Myelodysplastic Syndromes (MDS) in ESA Naïve Subjects Who Require Red Blood Cell Transfusions.",Active,,20/09/2018,10/12/2018,"A Phase 3 study to see the benefit and safety of Luspatercept in comparison with Epoetin Alfa to treat anaemia due to very low, low or intermediate risk Myelodysplastic Syndromes (MDS) in people who have not taken erythropoiesis-stimulating agents (ESA's) before and who require red blood cell transfusions.",No,Myelodysplastic syndrome (MDS),,Yes,,"Adult , Elderly","Female , Male"
4681,2017-005105-12,GR40398,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A PHASE III, MULTICENTER, RANDOMIZED, DOUBLE-MASKED, ACTIVE COMPARATOR-CONTROLLED STUDY TO EVALUATE THE EFFICACY AND
SAFETY OF FARICIMAB (RO6867461) IN PATIENTS WITH DIABETIC MACULAR EDEMA (RHINE)
",Ended,,18/09/2018,17/09/2018,A Study to Evaluate the Efficacy and Safety of faricimab in Patients with Diabetic Macular Edema (RHINE),No,Diabetic Macular Edema (DME),,Yes,,"Adult , Elderly","Female , Male"
4981,2017-004066-10,MVT-601-3103,Interventional studies with investigational medicinal products,Myovant Sciences GmbH,"SPIRIT EXTENSION: An International Phase 3 Open-Label, Single-Arm, Safety and Efficacy Extension Study to Evaluate Relugolix Co-Administered with Low-Dose Estradiol and Norethindrone Acetate in Women with Endometriosis-Associated Pain",Active,,14/08/2018,24/04/2019,Extension study to evaluate the efficacy and safety of relugolix in women with endometriosis-associated Pain,No,Endometriosis,,Yes,,Adult,Female
5041,2017-004208-24,CLJC242A2201J,Interventional studies with investigational medicinal products,Novartis Pharma AG,"A randomized, double-blind, multicenter study to assess the safety, tolerability, and efficacy of a combination treatment of tropifexor (LJN452) and cenicriviroc (CVC) in adult patients with nonalcoholic steatohepatitis (NASH) and liver fibrosis (TANDEM)",Ended,,26/09/2018,29/10/2018,"Study of safety, tolerability, and efficacy of a combination treatment of tropifexor and cenicriviroc in adult patients with nonalcoholic steatohepatitis (NASH) and liver fibrosis",No,Non-alcoholic Steatohepatitis (NASH),Yes,,,"Adult , Elderly","Female , Male"
5061,2017-002158-35,IVA_01_ODI_HMPS_17_002,Interventional studies with investigational medicinal products,INVENTIVA SA,"A phase IIa study to investigate safety, pharmacokinetics, and efficacy of odiparcil in patients 16 years and above with mucopolysaccharidosis (MPS) type VI.",Active,,17/12/2018,12/02/2019,"Study to investigate the fate of odiparcil since its administration up to the point is completely eliminated, its safety and efficacy in patients 16 years and above with mucopolysaccharidosis (MPS) type VI ",No,Mucopolysaccharidosis (MPS) type VI.,Yes,,,"Under 18 , Adult","Female , Male"
5081,2017-002195-13,CNTO1959CRD3001,Interventional studies with investigational medicinal products,Janssen-Cilag International N.V.,"A Phase 2/3, Randomized, Double-blind, Placebo- and Active-controlled, Parallel-group, Multicenter Protocol to Evaluate the Efficacy and Safety of Guselkumab in Participants with Moderately to Severely Active Crohn's Disease",Active,,16/10/2018,21/03/2019,A Study of the Efficacy and Safety of Guselkumab in Participants with Moderately to Severely Active Crohn's Disease,No,Moderately to Severely Active Crohn's Disease,Yes,Yes,,"Adult , Elderly","Female , Male"
5121,2017-003899-31,DBC-AMD-001-D,Interventional studies with investigational medicinal products,Dobecure S.l.,"International, multicenter, randomised, double-blind, sham-controlled,  2x2 cross over phase III clinical trial to assess the efficacy and security of an intravitreal injection of Etamsylate in the improvement of visual acuity of patients with dry age-related macular degeneration.",Not Commenced,,25/06/2019,19/11/2018,"International, multicenter, randomised, double-blind, sham-controlled,  2x2 cross over phase III clinical trial to assess the efficacy and security of an intravitreal injection of Etamsylate in the improvement of visual acuity of patients with dry age-related macular degeneration.",No,Aged related macula degeneration (AMD),,Yes,,"Adult , Elderly","Female , Male"
5161,2017-004419-38,CL3-95008-001,Interventional studies with investigational medicinal products,"SERVIER PORTUGAL - ESPECIALIDADES FARMACÊUTICAS, LDA.","Efficacy and safety of bumetanide oral liquid formulation in children and adolescents aged from 7 to less than 18 years old with Autism Spectrum Disorder. 
A 6-month randomised, double-blind, placebo controlled multicentre parallel group study to evaluate efficacy and safety of bumetanide 0.5mg twice a day followed by an open label active 6-month treatment period with bumetanide (0.5mg twice a day) and a 6 weeks discontinuation period after treatment stop.",Active,,17/10/2018,19/11/2018,Efficacy and safety of bumetanide oral liquid formulation in children and adolescents aged from 7 to less than 18 years old with Autism Spectrum Disorder. ,Yes,Autism Spectrum Disorder (ASD),,Yes,,Under 18,"Female , Male"
5162,2017-004420-30,CL3-95008-002,Interventional studies with investigational medicinal products,"SERVIER PORTUGAL - ESPECIALIDADES FARMACÊUTICAS, LDA.","Efficacy and safety of bumetanide oral liquid formulation in children aged from 2 to less than 7 years old with Autism Spectrum Disorder.
A 6-month randomised, double-blind, placebo controlled multicentre parallel group study to evaluate efficacy and safety of bumetanide 0.5mg twice a day followed by an open label active 6-month treatment period with bumetanide (0.5mg twice a day) and a 6 weeks discontinuation period after treatment stop.",Active,,17/10/2018,19/11/2018,Efficacy and safety of bumetanide oral liquid formulation in children aged from 2 to less than 7 years old with Autism Spectrum Disorder.,Yes,Autism Spectrum Disorder (ASD),,Yes,,Under 18,"Female , Male"
5181,2017-002708-28,REDIV/002/17,Interventional studies with investigational medicinal products,Alfasigma S.p.A.,"Rifaximin delayed release (400 mg tablet) for the prevention of recurrent acute diverticulitis and diverticular complications. A phase II, multicenter, double-blind, placebo-controlled, randomized clinical trial. (The ROAD trial)",,,14/11/2018,25/02/2019,Rifaximin tablets in the prevention of recurrent acute diverticulitis and diverticular complications.,No,Prevention of recurrent acute diverticulitis and diverticular complications,Yes,,,"Adult , Elderly","Female , Male"
5201,2016-002971-91,1386.12,Interventional studies with investigational medicinal products,Unilfarma - União Internacional Laboratórios Farmacêuticos Lda.,"A Randomized, double-masked, placebo-controlled exploratory study to evaluate safety, tolerability, pharmacodynamics and pharmacokinetics of Orally administered BI 1467335 for 12 weeks with a 12 week follow up period in patients with Non-proliferative diabetic retinopathy without center-involved diabetic macular edema (ROBIN study)",Ended,,24/10/2018,08/10/2018,"A study that tests BI 1467335 in patients with diabetic eye
disease (diabetic retinopathy). It looks at the way BI 1467335 is
taken up, the effects it has, and how well it is tolerated.",No,diabetic retinopathy,Yes,,,"Adult , Elderly","Female , Male"
5221,2017-003309-16,JZP963-201,Interventional studies with investigational medicinal products,Jazz Pharmaceuticals Inc.,"A Phase 2, Prospective, Randomized, Open-label Study on the Efficacy of Defibrotide Added to Standard of Care Immunoprophylaxis for the Prevention of Acute Graft-versus-Host-Disease in Adult and Pediatric Patients After Allogeneic Hematopoietic Stem Cell Transplant",Not Commenced,,19/11/2018,10/12/2018,A clinical study to investigate the efficacy of Defibrotide Added to Standard of Care Immunoprophylaxis for the prevention of Acute Graft-versus-Host-Disease in adult and pediatric patients after allogeneic hematopoietic stem cell transplant,No,Prevention of Acute Graft-versus-Host Disease (aGvHD) after allogeneic hematopoietic stem cell transplant,Yes,,,"Under 18 , Adult , Elderly","Female , Male"
5241,2018-001272-37,0173,Interventional studies with investigational medicinal products,Theravance Biopharma Ireland Limited,"A Phase 2 Multi-Center, Randomized, Double-Blind, Placebo-controlled, Parallel-Group Study to Evaluate the Efficacy and Safety of Induction Therapy with 2 Doses of TD-1473 in Subjects with Moderately-to-Severely Active Crohn¿s Disease",Active,,10/10/2018,26/03/2019,A clinical trial to investigate the Efficacy and Safety of TD-1473 for the Treatment of Moderately-to-Severely Active Crohn's Disease,No,Moderately-to-Severely Active Crohn¿s Disease (CD),Yes,,,"Adult , Elderly","Female , Male"
5261,2018-000347-60,TTD-18-01,Interventional studies with investigational medicinal products,Grupo de Tratamiento de los Tumores Digestivos,"Phase III randomized sequential open-label study to evaluate the efficacy of FOLFOX + panitumumab followed by FOLFIRI + bevacizumab (Sequence 1) versus FOLFOX + bevacizumab followed by FOLFIRI + panitumumab (Sequence 2) in untreated patients with wild-type RAS metastatic, primary left-sided, unresectable colorectal cancer: The CR-SEQUENCE",Active,,17/01/2019,15/05/2019,Clinical trial to compare the efficacy of two treatment sequencing schemes with chemotherapy (the regime called FOLFOX and FOLFIRI) in combination with biologic drugs (panitumumab and bevacizumab).,No,metastatic colorectal cancer,,Yes,,"Adult , Elderly","Female , Male"
5281,2017-004605-41,021IGAN17001,Interventional studies with investigational medicinal products,Travere Therapeutics Inc.,"A Randomized, Multicenter, Double-blind, Parallel-group, Active-control Study of the Efficacy and Safety of Sparsentan for the Treatment of Immunoglobulin A Nephropathy",Active,,24/10/2018,06/03/2019,Effectiveness and Safety of Sparsentan as treatment for Immunoglobulin A Nephropathy (IgAN),No,Immunoglobulin A Nephropathy (IgAN),,Yes,,"Adult , Elderly","Female , Male"
5301,2018-002147-28,CT-P16_3.1,Interventional studies with investigational medicinal products,"Celltrion, Inc.","A Double-Blind, Randomized, Active-Controlled, Parallel-Group, Phase 3 Study to Compare Efficacy and Safety of CT-P16 and EU-Approved Avastin as First-Line Treatment for Metastatic or Recurrent Non Squamous Non Small Cell Lung Cancer",Active,,16/11/2018,10/12/2018,Comparing Efficacy and Safety between CT-P16 and EU-approved Avastin in Patients with Metastatic or Recurrent Non-Squamous Non Small Cell Lung Cancer,No,Metastatic or Recurrent Non-Squamous Non-Small Cell Lung Cancer,,Yes,,"Adult , Elderly","Female , Male"
5343,2018-002448-10,BIA-51058-201,Interventional studies with investigational medicinal products,"Bial - Portela & Cª, S.A.                                                                           ","An open-label, multicentre study to evaluate pharmacokinetics, safety and efficacy of zamicastat as adjunctive therapy in pulmonary arterial hypertension (PAH)",Not Commenced,,26/11/2018,19/11/2018,Study to find the most promising therapeutic dosage of zamicastat for the treatment of PAH disease.,No,Pulmonary arterial hypertension,Yes,,,"Adult , Elderly","Female , Male"
5361,2018-000168-27,CDRB436F2410,Interventional studies with investigational medicinal products,Novartis Pharma AG,"COMBI-APlus: Open-label, phase IIIb study of dabrafenib in COMBInation with trametinib in the Adjuvant treatment of stage III BRAF V600 mutation-positive melanoma after complete resection to evaluate the impact on pyrexia related outcomes of an adapted pyrexia AE-management algorithm (Plus)",Ended,,22/10/2018,17/12/2018,Study of dabrafenib+trametinib in the Adjuvant treatment of stage III BRAF V600+ melanoma after complete resection to evaluate the impact on pyrexia related outcomes,No,Stage III BRAF V600 mutation-positive melanoma ,,Yes,,"Adult , Elderly","Female , Male"
5401,2018-001594-24,CABL001E2201,Interventional studies with investigational medicinal products,Novartis Pharma AG,"A phase 2, multi-center, open-label, randomized study of oral asciminib added to imatinib versus continued imatinib versus switch to nilotinib in patients with CML-CP who have been previously treated with imatinib and have not achieved deep molecular response",Active,,29/10/2018,10/12/2018,Study of efficacy and safety of asciminib in addition to imatinib in CML-CP patients without a deep level or response on imatinib,No,"Chronic Myelogenous Leukemia in chronic phase (CML-CP), previously treated with imatinib and have not achieved deep molecular response",Yes,,,"Adult , Elderly","Female , Male"
5441,2017-003131-11,1280-0022,Interventional studies with investigational medicinal products,"Boehringer Ingelheim, Portugal Lda.                                    ","Xenera-1: A multi-centre, double-blind, placebo-controlled, randomised phase II trial to compare efficacy of xentuzumab in combination with everolimus and exemestane versus everolimus and exemestane in women with HR+ / HER2- metastatic breast cancer and non-visceral disease",Temporary Halt,,19/11/2018,19/11/2018,The Xenera-1 study tests xentuzumab in combination with everolimus and exemestane in women with hormone receptor positive and HER2-negative breast cancer that has spread,No,HR+ / HER2- metastatic breast cancer and non-visceral disease,Yes,,,"Adult , Elderly",Female
5461,2018-002153-30,MO40628,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A randomized, multicenter, open-label cross-over study to evaluate patient preference and satisfaction of subcutaneous administration of the fixed-dose combination of pertuzumab and trastuzumab in patients with HER2-positive early breast cancer",Active,,23/11/2018,28/01/2019,A Study to Evaluate Patient Preference and Satisfaction of Subcutaneous Administration of the Fixed-Dose Combination of Pertuzumab and Trastuzumab in Patients with HER2-Positive Early Breast Cancer,No,Human epidermal growth factor receptor 2 (HER2)-positive Early Breast Cancer.,Yes,,,"Adult , Elderly","Female , Male"
5501,2017-002751-28,PVO-2A-201,Interventional studies with investigational medicinal products,Clementia Pharmaceuticals Inc.,"A Phase 2, Randomized, Double-Blind, Placebo-Controlled Efficacy and Safety Study of Palovarotene in Subjects with Multiple Osteochondromas",Active,,12/11/2018,25/02/2019,"A Phase 2, Randomized, Double-Blind, Placebo-Controlled Efficacy and Safety Study of Palovarotene in Subjects with Multiple Osteochondromas",No,Multiple Osteochondromas (MO),Yes,,,Under 18,"Female , Male"
5561,2018-000840-24,CQGE031C2303,Interventional studies with investigational medicinal products,Novartis Pharma AG,"A multi-center, randomized, double-blind, active and placebo-controlled study to investigate the efficacy and safety of ligelizumab (QGE031) in the treatment of Chronic Spontaneous Urticaria (CSU) in adolescents and adults inadequately controlled with H1-antihistamines",Not Commenced,,04/12/2018,14/01/2019,A Phase III study of efficacy and safety of ligelizumab in the treatment of Chronic Spontaneous Urticaria in adolescents and adults inadequately controlled with H1-antihistamines,Yes,Chronic Spontaneous Urticaria,,Yes,,"Under 18 , Adult , Elderly","Female , Male"
5581,2017-003219-20,NN9535-4386,Interventional studies with investigational medicinal products,Novo Nordisk A/S,"Effect of semaglutide once-weekly versus insulin aspart three times daily, both as add on to
metformin and optimised insulin glargine (U100) in subjects with type 2 diabetes

A 52-week, multi-centre, multinational, open-label, active-controlled, two armed, parallel-group,
randomised trial in subjects with type 2 diabetes",Active,,05/11/2018,14/01/2019,"A research study to compare semaglutide to insulin aspart, when taken together with metformin and insulin glargine, in people with type 2 diabetes",No,"Diabetes Mellitus, Type 2",,Yes,,"Adult , Elderly","Female , Male"
